-0.475182	-0.20672	-0.389844	
-0.426341	-0.22186	-0.386844	
-0.376868	-0.234919	-0.385758	
-0.327057	-0.247077	-0.384353	
-0.277367	-0.259226	-0.381951	
-0.261732	-0.26259	-0.380489	
-0.199188	-0.270314	-0.368216	
-0.14588	-0.275415	-0.356548	
-0.0892914	-0.280757	-0.344101	
-0.0329012	-0.286032	-0.33166	
0.321661	-0.223811	-0.182899	
0.27593	-0.231966	-0.204865	
0.229857	-0.240408	-0.225545	
0.183377	-0.250669	-0.244736	
0.151999	-0.259249	-0.258284	
0.118653	-0.267988	-0.274113	
0.0701785	-0.274147	-0.292769	
0.0192419	-0.280098	-0.312038	
-0.0329012	-0.286032	-0.33166	
0.152189	0.477907	-0.333922	
0.114412	0.461403	-0.303568	
0.0817802	0.438894	-0.270836	
0.0630233	0.39225	-0.260694	
0.0528573	0.341801	-0.262105	
0.0421109	0.292496	-0.269594	
0.0353087	0.272124	-0.27541	
0.0281862	0.24415	-0.283221	
0.019245	0.19429	-0.29289	
-0.00157428	0.148368	-0.304784	
-0.0310555	0.108597	-0.318339	
-0.0671424	0.0720957	-0.332897	
-0.226988	0.44286	-0.391921	
-0.219088	0.397209	-0.369774	
-0.210043	0.348244	-0.358394	
-0.197543	0.297751	-0.354436	
-0.185609	0.248003	-0.352915	
-0.178781	0.220188	-0.353037	
-0.169666	0.18417	-0.352648	
-0.146779	0.138487	-0.34901	
-0.10902	0.105015	-0.341322	
-0.0671424	0.0720957	-0.332897	
-0.058184	-0.45825	-0.360024	
-0.0602591	-0.406689	-0.355093	
-0.059889	-0.365108	-0.349492	
-0.0412964	-0.336683	-0.338968	
-0.0329012	-0.286032	-0.33166	
-0.0329012	-0.286032	-0.33166	
-0.0593147	-0.241103	-0.338318	
-0.0687729	-0.190321	-0.340087	
-0.0694637	-0.136383	-0.339854	
-0.0695913	-0.109092	-0.339742	
-0.0697025	-0.0821645	-0.339627	
-0.0696867	-0.0309219	-0.338617	
-0.0695937	0.0209783	-0.336654	
-0.0671424	0.0720957	-0.332897
